Kind,Name,AvgCyclomatic,CountDeclClass,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,RatioCommentToCode,MaxCyclomatic,SumCyclomatic,CountDeclFunction
Public Class,org.apache.hadoop.hive.accumulo.predicate.NoSuchCompareOpException,1,,19,4,12,5,4,3,,,4,8,5,,3,0.25,1,3,
Public Class,org.apache.hadoop.hive.accumulo.predicate.NoSuchPrimitiveComparisonException,1,,19,4,12,5,4,3,,,4,8,5,,3,0.25,1,3,
Public Class,org.apache.hadoop.hive.accumulo.predicate.PrimitiveComparisonFilter,2,,96,9,77,32,51,11,,,46,57,28,,41,0.14,4,12,
Public Class,org.apache.hadoop.hive.accumulo.predicate.PushdownTuple,2,,73,8,55,19,37,10,,,29,40,18,,28,0.18,5,11,
Public Class,org.apache.hadoop.hive.accumulo.predicate.TestAccumuloPredicateHandler,2,,739,82,626,303,534,31,,,452,507,234,,449,0.05,11,51,
Public Class,org.apache.hadoop.hive.accumulo.predicate.TestAccumuloRangeGenerator,2,,564,72,447,255,390,45,,,312,337,185,,314,0.10,3,24,
Public Class,org.apache.hadoop.hive.accumulo.predicate.TestPrimitiveComparisonFilter,2,,45,11,31,16,21,3,,,23,28,16,,23,0.10,2,4,
Public Class,org.apache.hadoop.hive.accumulo.predicate.compare.DoubleCompare,1,,85,10,42,18,13,33,,,11,22,11,,11,0.79,2,10,
Public Class,org.apache.hadoop.hive.accumulo.predicate.compare.Equal,1,,30,6,19,10,4,5,,,5,11,7,,4,0.26,1,5,
Public Class,org.apache.hadoop.hive.accumulo.predicate.compare.GreaterThan,1,,30,6,19,10,4,5,,,5,11,7,,4,0.26,1,5,
Public Class,org.apache.hadoop.hive.accumulo.predicate.compare.GreaterThanOrEqual,1,,30,6,19,10,4,5,,,5,11,7,,4,0.26,1,5,
Public Class,org.apache.hadoop.hive.accumulo.predicate.compare.IntCompare,1,,59,10,43,19,13,6,,,11,22,11,,11,0.14,2,10,
Public Class,org.apache.hadoop.hive.accumulo.predicate.compare.LessThan,1,,30,6,19,10,4,5,,,5,11,7,,4,0.26,1,5,
Public Class,org.apache.hadoop.hive.accumulo.predicate.compare.LessThanOrEqual,1,,30,6,19,10,4,5,,,5,11,7,,4,0.26,1,5,
Public Class,org.apache.hadoop.hive.accumulo.predicate.compare.Like,1,,31,6,19,10,4,6,,,5,11,7,,4,0.32,1,5,
Public Class,org.apache.hadoop.hive.accumulo.predicate.compare.LongCompare,1,,60,10,44,20,14,6,,,12,23,12,,12,0.14,2,10,
Public Class,org.apache.hadoop.hive.accumulo.predicate.compare.NotEqual,1,,30,6,19,10,4,5,,,5,11,7,,4,0.26,1,5,
Public Class,org.apache.hadoop.hive.accumulo.predicate.compare.StringCompare,1,,58,10,42,23,12,6,,,13,23,14,,12,0.14,1,9,
Public Class,org.apache.hadoop.hive.accumulo.predicate.compare.TestDoubleCompare,1,,124,31,93,38,59,0,,,55,68,29,,53,0.00,2,12,
Public Class,org.apache.hadoop.hive.accumulo.predicate.compare.TestIntCompare,1,,111,29,82,35,52,0,,,50,61,27,,48,0.00,2,10,
Public Class,org.apache.hadoop.hive.accumulo.predicate.compare.TestLongComparison,1,,124,32,92,38,58,0,,,55,68,29,,53,0.00,2,12,
Public Class,org.apache.hadoop.hive.accumulo.predicate.compare.TestStringCompare,1,,114,34,80,32,53,0,,,54,63,24,,52,0.00,1,8,
Public Class,org.apache.hadoop.hive.accumulo.serde.AccumuloCompositeRowId,1,,64,11,22,10,12,31,,,13,18,10,,13,1.41,2,4,
Public Class,org.apache.hadoop.hive.accumulo.serde.AccumuloIndexParameters,2,,69,9,57,20,33,3,,,26,41,21,,25,0.05,4,13,
Public Class,org.apache.hadoop.hive.accumulo.serde.AccumuloRowSerializer,4,,331,41,217,62,152,73,,,111,150,55,,120,0.34,15,39,
Public Class,org.apache.hadoop.hive.accumulo.serde.AccumuloSerDe,1,,128,24,95,37,50,9,,,37,55,27,,37,0.09,3,17,
Public Class,org.apache.hadoop.hive.accumulo.serde.AccumuloSerDeParameters,2,,268,56,175,69,101,37,,,90,130,66,,84,0.21,4,39,
Public Class,org.apache.hadoop.hive.accumulo.serde.DefaultAccumuloRowIdFactory,1,,52,7,38,18,14,7,,,14,20,11,,9,0.18,1,5,
Public Class,org.apache.hadoop.hive.accumulo.serde.DelimitedAccumuloRowIdFactory,2,,71,14,53,23,31,4,,,26,36,17,,27,0.08,4,9,
Public Class,org.apache.hadoop.hive.accumulo.serde.FirstCharAccumuloCompositeRowId,1,,36,9,21,11,11,6,,,13,16,9,,11,0.29,1,2,
Public Class,org.apache.hadoop.hive.accumulo.serde.TestAccumuloRowSerializer,2,,255,56,188,77,168,11,,,132,144,61,,134,0.06,2,8,
Public Class,org.apache.hadoop.hive.accumulo.serde.TestAccumuloSerDe,1,,418,87,322,134,269,9,,,245,269,115,,236,0.03,3,20,
Public Class,org.apache.hadoop.hive.accumulo.serde.TestAccumuloSerDeParameters,1,,73,17,53,30,36,3,,,33,39,22,,33,0.06,1,5,
Public Class,org.apache.hadoop.hive.accumulo.serde.TestDefaultAccumuloRowIdFactory,1,,87,20,63,31,52,4,,,49,53,28,,49,0.06,1,3,
Public Class,org.apache.hadoop.hive.accumulo.serde.TooManyAccumuloColumnsException,1,,24,6,15,6,5,3,,,5,10,6,,4,0.20,1,4,
Public Class,org.apache.hadoop.hive.accumulo.serde.TooManyHiveColumnsException,1,,24,6,15,6,5,3,,,5,10,6,,4,0.20,1,4,
Public Class,org.apache.hadoop.hive.ant.GenHiveTemplate,2,,131,15,111,31,79,7,,,53,73,31,,60,0.06,4,19,
Public Class,org.apache.hadoop.hive.cli.CliDriver,4,,880,101,670,135,491,112,,,313,462,146,,379,0.17,16,119,
Public Class,org.apache.hadoop.hive.cli.CliSessionState,2,,43,6,18,9,7,19,,,8,12,8,,6,1.06,2,3,
Public Class,org.apache.hadoop.hive.cli.ContribNegativeCliDriver,1,,30,8,22,14,7,0,,,9,13,9,,7,0.00,1,3,
Public Class,org.apache.hadoop.hive.cli.MiniDruidLlapLocalCliDriver,1,,32,7,22,14,7,3,,,9,13,9,,7,0.14,1,3,
Public Class,org.apache.hadoop.hive.cli.OptionsProcessor,3,,159,28,114,16,90,17,,,44,64,19,,53,0.15,6,15,
Public Class,org.apache.hadoop.hive.cli.RCFileCat,5,,241,27,194,58,143,21,,,111,151,56,,112,0.11,27,39,
Public Class,org.apache.hadoop.hive.cli.TestAccumuloCliDriver,1,,31,8,23,15,7,0,,,9,13,9,,7,0.00,1,3,
Public Class,org.apache.hadoop.hive.cli.TestBeeLineDriver,1,,30,8,22,14,7,0,,,9,13,9,,7,0.00,1,3,
Public Class,org.apache.hadoop.hive.cli.TestBlobstoreCliDriver,1,,30,8,22,14,7,0,,,9,13,9,,7,0.00,1,3,
Public Class,org.apache.hadoop.hive.cli.TestBlobstoreNegativeCliDriver,1,,30,8,22,14,7,0,,,9,13,9,,7,0.00,1,3,
Public Class,org.apache.hadoop.hive.cli.TestCliDriver,1,,32,9,23,15,8,0,,,10,14,10,,7,0.00,1,3,
Public Class,org.apache.hadoop.hive.cli.TestCliDriverMethods,2,,462,74,348,112,248,43,,,213,260,96,,211,0.12,4,26,
Public Class,org.apache.hadoop.hive.cli.TestCliSessionState,1,,15,1,8,3,3,6,,,2,4,2,,2,0.75,1,1,
Public Class,org.apache.hadoop.hive.cli.TestContribCliDriver,1,,30,8,22,14,7,0,,,9,13,9,,7,0.00,1,3,
Public Class,org.apache.hadoop.hive.cli.TestContribNegativeCliDriver,1,,30,8,22,14,7,0,,,9,13,9,,7,0.00,1,3,
Public Class,org.apache.hadoop.hive.cli.TestEncryptedHDFSCliDriver,1,,32,9,23,15,8,0,,,10,14,10,,7,0.00,1,3,
Public Class,org.apache.hadoop.hive.cli.TestErasureCodingHDFSCliDriver,1,,33,7,22,14,7,4,,,9,13,9,,7,0.18,1,3,
Public Class,org.apache.hadoop.hive.cli.TestHBaseCliDriver,1,,30,8,22,14,7,0,,,9,13,9,,7,0.00,1,3,
Public Class,org.apache.hadoop.hive.cli.TestHBaseNegativeCliDriver,1,,30,8,22,14,7,0,,,9,13,9,,7,0.00,1,3,
Public Class,org.apache.hadoop.hive.cli.TestIcebergCliDriver,1,,30,7,23,14,8,0,,,10,14,9,,8,0.00,1,3,
Public Class,org.apache.hadoop.hive.cli.TestIcebergLlapLocalCliDriver,1,,29,7,22,14,7,0,,,9,13,9,,7,0.00,1,3,
Public Class,org.apache.hadoop.hive.cli.TestIcebergLlapLocalCompactorCliDriver,1,,45,9,36,20,14,0,,,17,23,13,,14,0.00,1,5,
Public Class,org.apache.hadoop.hive.cli.TestIcebergNegativeCliDriver,1,,30,7,23,14,8,0,,,10,14,9,,8,0.00,1,3,
Public Class,org.apache.hadoop.hive.cli.TestKuduCliDriver,1,,35,8,22,14,7,5,,,9,13,9,,7,0.23,1,3,
Public Class,org.apache.hadoop.hive.cli.TestKuduNegativeCliDriver,1,,35,8,22,14,7,5,,,9,13,9,,7,0.23,1,3,
Public Class,org.apache.hadoop.hive.cli.TestMiniDruidCliDriver,1,,32,8,24,15,7,0,,,9,13,9,,7,0.00,1,3,
Public Class,org.apache.hadoop.hive.cli.TestMiniDruidKafkaCliDriver,1,,32,8,24,15,7,0,,,9,13,9,,7,0.00,1,3,
Public Class,org.apache.hadoop.hive.cli.TestMiniHiveKafkaCliDriver,1,,31,8,23,14,7,0,,,9,13,9,,7,0.00,1,3,
Public Class,org.apache.hadoop.hive.cli.TestMiniLlapCliDriver,1,,32,9,23,15,8,0,,,10,14,10,,7,0.00,1,3,
Public Class,org.apache.hadoop.hive.cli.TestMiniLlapLocalCliDriver,1,,32,9,23,15,8,0,,,10,14,10,,7,0.00,1,3,
Public Class,org.apache.hadoop.hive.cli.TestMiniLlapLocalCompactorCliDriver,1,,46,9,37,21,15,0,,,18,24,14,,14,0.00,1,5,
Public Class,org.apache.hadoop.hive.cli.TestMiniTezCliDriver,1,,32,8,23,14,8,1,,,10,14,9,,8,0.04,1,3,
Public Class,org.apache.hadoop.hive.cli.TestMinimrCliDriver,1,,31,8,23,15,7,0,,,9,13,9,,7,0.00,1,3,
Public Class,org.apache.hadoop.hive.cli.TestNegativeLlapCliDriver,1,,30,8,22,14,7,0,,,9,13,9,,7,0.00,1,3,
Public Class,org.apache.hadoop.hive.cli.TestNegativeLlapLocalCliDriver,1,,30,8,22,14,7,0,,,9,13,9,,7,0.00,1,3,
Public Class,org.apache.hadoop.hive.cli.TestOptionsProcessor,1,,53,7,35,12,27,11,,,26,29,9,,24,0.31,1,2,
Public Class,org.apache.hadoop.hive.cli.TestRCFileCat,2,,114,19,86,27,77,14,,,64,69,20,,59,0.16,2,3,
Public Class,org.apache.hadoop.hive.cli.TestTezTPCDS30TBPerfCliDriver,1,,49,8,32,15,14,9,,,12,18,10,,10,0.28,1,3,
Public Class,org.apache.hadoop.hive.cli.control.CliConfigs,2,,692,129,542,66,382,22,,,315,411,66,,347,0.04,2,2,
Public Class,org.apache.hadoop.hive.cli.control.CoreAccumuloCliDriver,2,,76,14,62,26,32,0,,,26,37,16,,28,0.00,5,11,
Public Class,org.apache.hadoop.hive.cli.control.CoreBeeLineDriver,2,,283,44,235,81,155,4,,,108,143,65,,107,0.02,5,33,
Public Class,org.apache.hadoop.hive.cli.control.CoreBlobstoreCliDriver,1,,10,1,9,4,2,0,,,2,5,3,,2,0.00,1,2,
Public Class,org.apache.hadoop.hive.cli.control.CoreBlobstoreNegativeCliDriver,1,,10,1,9,4,2,0,,,2,5,3,,2,0.00,1,2,
Public Class,org.apache.hadoop.hive.cli.control.CoreCliDriver,2,,122,15,107,39,70,0,,,50,66,28,,52,0.00,6,17,
Public Class,org.apache.hadoop.hive.cli.control.CoreHBaseCliDriver,1,,73,14,59,26,29,0,,,24,35,16,,26,0.00,4,10,
Public Class,org.apache.hadoop.hive.cli.control.CoreHBaseNegativeCliDriver,1,,73,14,58,25,29,1,,,24,35,16,,26,0.02,4,10,
Public Class,org.apache.hadoop.hive.cli.control.CoreKuduCliDriver,1,,80,13,64,22,34,3,,,21,32,12,,23,0.05,4,10,
Public Class,org.apache.hadoop.hive.cli.control.CoreKuduNegativeCliDriver,1,,78,11,63,22,33,4,,,20,31,12,,22,0.06,4,10,
Public Class,org.apache.hadoop.hive.cli.control.CoreNegativeCliDriver,2,,98,13,84,30,53,1,,,33,46,19,,37,0.01,9,16,
Public Class,org.apache.hadoop.hive.cli.control.CorePerfCliDriver,2,,78,14,59,25,33,5,,,25,36,18,,27,0.08,6,12,
Public Class,org.apache.hadoop.hive.cli.control.SplitSupport,2,,60,8,51,22,28,1,,,22,34,18,,25,0.02,3,11,
Public Class,org.apache.hadoop.hive.cli.control.TestDanglingQOuts,2,,84,17,61,28,32,6,,,25,44,27,,30,0.10,4,11,
Public Class,org.apache.hadoop.hive.cli.control.TestSplitSupport,1,,23,3,20,12,8,0,,,8,12,8,,4,0.00,1,3,
Public Class,org.apache.hadoop.hive.cli.control.splitsupport.SplitSupportDummy,0,,3,1,2,1,0,0,,,0,1,1,,0,0.00,0,0,
Public Class,org.apache.hadoop.hive.cli.control.splitsupport.split0.SplitSupportDummy,0,,3,1,2,1,0,0,,,0,1,1,,0,0.00,0,0,
Public Class,org.apache.hadoop.hive.cli.control.splitsupport.split125.SplitSupportDummy,0,,3,1,2,1,0,0,,,0,1,1,,0,0.00,0,0,
Public Class,org.apache.hadoop.hive.common.AcidConstants,1,,30,6,17,14,13,7,,,13,15,14,,2,0.41,1,1,
Public Class,org.apache.hadoop.hive.common.AcidMetaDataFile,1,,57,7,36,18,14,14,,,14,20,12,,10,0.39,1,1,
Public Class,org.apache.hadoop.hive.common.BlobStorageUtils,1,,38,6,26,9,13,6,,,7,13,8,,6,0.23,1,5,
Public Class,org.apache.hadoop.hive.common.CompressionUtils,4,,168,12,115,29,83,43,,,56,79,25,,67,0.37,12,17,
Public Class,org.apache.hadoop.hive.common.CopyOnFirstWriteProperties,2,,327,54,259,101,105,16,,,100,197,53,,145,0.06,3,94,
Public Class,org.apache.hadoop.hive.common.DataCopyStatistics,1,,12,3,9,4,2,0,,,3,6,4,,2,0.00,1,2,
Public Class,org.apache.hadoop.hive.common.DatabaseName,1,,78,8,46,17,20,24,,,18,30,14,,17,0.52,3,11,
Public Class,org.apache.hadoop.hive.common.DiskRangeInfo,1,,37,5,21,7,9,11,,,8,14,7,,7,0.52,2,5,
Public Class,org.apache.hadoop.hive.common.GcTimeMonitor,3,,252,30,140,44,80,84,,,68,95,41,,59,0.60,4,15,
Public Class,org.apache.hadoop.hive.common.HeapMemoryMonitor,3,,134,12,113,32,74,12,,,48,77,35,,58,0.11,6,26,
Public Class,org.apache.hadoop.hive.common.HiveInterruptUtils,2,,47,5,33,7,17,9,,,10,22,8,,15,0.27,3,7,
Public Class,org.apache.hadoop.hive.common.HiveStatsUtils,5,,118,9,86,14,69,23,,,53,73,14,,66,0.27,12,19,
Public Class,org.apache.hadoop.hive.common.JvmMetrics,2,,144,15,125,44,86,5,,,66,88,41,,61,0.04,9,22,
Public Class,org.apache.hadoop.hive.common.JvmPauseMonitor,2,,191,25,153,58,91,13,,,69,103,49,,66,0.08,4,17,
Public Class,org.apache.hadoop.hive.common.LogUtils,3,,227,16,160,46,105,52,,,71,105,38,,77,0.33,6,31,
Public Class,org.apache.hadoop.hive.common.MaterializationSnapshot,1,,78,10,45,13,22,23,,,16,27,12,,16,0.51,2,10,
Public Class,org.apache.hadoop.hive.common.NoDynamicValuesException,1,,12,2,6,3,2,4,,,2,4,3,,1,0.67,1,1,
Public Class,org.apache.hadoop.hive.common.SSLZookeeperFactory,4,,55,5,46,16,26,4,,,29,36,13,,26,0.09,6,8,
Public Class,org.apache.hadoop.hive.common.ServerUtils,2,,57,4,40,12,24,13,,,18,27,12,,21,0.33,3,8,
Public Class,org.apache.hadoop.hive.common.StatsSetupConst,4,,376,59,255,109,139,62,,,108,165,81,,104,0.24,6,37,
Public Class,org.apache.hadoop.hive.common.StringInternUtils,4,,144,10,96,22,64,39,,,51,84,23,,71,0.41,10,29,
Public Class,org.apache.hadoop.hive.common.TableName,2,,160,20,92,30,45,48,,,36,60,27,,35,0.52,6,26,
Public Class,org.apache.hadoop.hive.common.TestBlobStorageUtils,1,,58,13,39,11,25,9,,,25,30,7,,25,0.23,1,4,
Public Class,org.apache.hadoop.hive.common.TestDatabaseName,1,,22,2,20,9,12,0,,,12,15,7,,10,0.00,1,2,
Public Class,org.apache.hadoop.hive.common.TestFileUtils,1,,340,60,263,117,197,45,,,180,205,97,,180,0.17,2,25,
Public Class,org.apache.hadoop.hive.common.TestFileUtils,2,,186,16,160,45,124,10,,,111,131,41,,114,0.06,4,15,
Public Class,org.apache.hadoop.hive.common.TestLogUtils,1,,13,0,13,3,8,0,,,8,10,2,,8,0.00,1,1,
Public Class,org.apache.hadoop.hive.common.TestNumberUtils,1,,34,5,26,13,12,3,,,12,17,9,,12,0.12,1,4,
Public Class,org.apache.hadoop.hive.common.TestStatsSetupConst,1,,82,11,68,30,41,3,,,41,50,21,,41,0.04,1,8,
Public Class,org.apache.hadoop.hive.common.TestTableName,1,,65,9,56,13,41,0,,,39,45,9,,40,0.00,2,5,
Public Class,org.apache.hadoop.hive.common.TestTezJsonParser,1,,143,3,140,11,132,0,,,8,11,8,,7,0.00,1,2,
Public Class,org.apache.hadoop.hive.common.TestValidCompactorWriteIdList,1,,118,10,105,51,68,3,,,67,79,38,,66,0.03,1,11,
Public Class,org.apache.hadoop.hive.common.TestValidReadTxnList,2,,95,6,86,39,66,7,,,76,88,38,,72,0.08,5,11,
Public Class,org.apache.hadoop.hive.common.TestValidReaderWriteIdList,2,,90,5,82,34,60,5,,,65,76,34,,61,0.06,5,10,
Public Class,org.apache.hadoop.hive.common.ValidCleanerWriteIdList,1,,29,4,16,5,6,9,,,4,9,4,,5,0.56,2,4,
Public Class,org.apache.hadoop.hive.common.ValidCompactorWriteIdList,2,,73,1,37,14,15,36,,,13,22,10,,13,0.97,3,9,
Public Class,org.apache.hadoop.hive.common.ValidReadTxnList,3,,267,25,216,56,135,31,,,98,153,48,,118,0.14,9,53,
Public Class,org.apache.hadoop.hive.common.ValidReaderWriteIdList,3,,243,22,196,50,115,31,,,86,138,41,,105,0.16,11,48,
Public Class,org.apache.hadoop.hive.common.ValidTxnWriteIdList,2,,88,12,57,21,30,19,,,28,44,22,,28,0.33,3,15,
Public Class,org.apache.hadoop.hive.common.ZKDeRegisterWatcher,2,,17,2,12,5,3,3,,,3,7,4,,3,0.25,2,3,
Public Class,org.apache.hadoop.hive.common.ZooKeeperHiveHelper,3,,390,52,304,90,176,35,,,142,208,85,,132,0.12,5,34,
Public Class,org.apache.hadoop.hive.common.auth.HiveAuthUtils,3,,174,12,127,47,76,39,,,53,80,34,,62,0.31,11,28,
Public Class,org.apache.hadoop.hive.common.classification.InterfaceAudience,1,,23,3,8,7,0,13,,,4,6,6,,0,1.63,1,1,
